Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,FirstFlrSF,SecondFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQual,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,Threeseasonporch,ScreenPorch,Fence,MiscFeature,SaleType,SaleCondition,SalePrice,HouseAge,HouseRemodAge,HouseCond,GarageAge,TotalArea,TotalSF,LivAreaRatio,LivLotRatio,RmsPerSqft,BedroomRatio,FlrRatio,Spaciousness,Bldg_1Fam,Bldg_Duplex,Bldg_Twnhs,Bldg_TwnhsE,MedNhbdArea,LgGrLivArea,LgMasVnrArea,OverallAvg,QualSF,NhbQual,ExterQualNum,KitchenQualNum,BsmtQualNum,FireplaceQualNum,GarageQualNum,CompositeQual,BsmtCondNum,BsmtQualityScore,PorchTypes,TotalBath,Cluster,Centroid0,Centroid1,Centroid2,Centroid3,Centroid4,Centroid5,Centroid6,Centroid7,Centroid8,Centroid9,Centroid10,Centroid11,Centroid12,Centroid13,Centroid14,Centroid15,Centroid16,Centroid17,Centroid18,Centroid19
11,20,RL,70.0,11200,Pave,None,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5.0,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906.0,Unf,0.0,134.0,1040.0,GasA,Ex,Y,SBrkr,1040,0,0,1040,1.0,0.0,1,0,3,1,TA,5,Typ,0,None,Detchd,1965.0,Unf,1.0,384.0,TA,TA,Y,0,0,0,0,0,None,None,WD,Normal,129500.0,43,43,2,43.0,2080.0,1946.0,0.5344295991778006,0.09285714285714286,0.004807692307692308,0.0028846153846153848,1.0,208.0,1040,0,0,0,1052.0,6.947937068614969,0.0,5,9730.0,5.0,3,3.0,3.0,4.0,3.0,3.2,3.0,3,0,2.0,7,0.9902248207133777,2.790477295185175,2.210679815768276,3.0501247481917253,5.9901506880429105,2.0122176705880896,3.8001181944440265,0.22652703114407974,5.038163625613053,17.44294232981646,26.188065207413395,2.7534113018859747,0.9591389619669286,1.811137118934874,17.327274957867832,2.4974338760784582,2.2575233212506154,9.335138319004203,1.9662187810260636,4.844478207048578
12,60,RL,85.0,11924,Pave,None,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9.0,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998.0,Unf,0.0,177.0,1175.0,GasA,Ex,Y,SBrkr,1182,1142,0,2324,1.0,0.0,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,2005.0,Fin,3.0,736.0,TA,TA,Y,147,21,0,0,0,None,None,New,Partial,345000.0,1,0,0,1.0,3499.0,3322.0,0.699578567128236,0.1949010399194901,0.004733218588640275,0.0017211703958691911,0.5086058519793459,211.27272727272728,2324,0,0,0,1832.0,7.751475318021456,5.659482215759621,7,29898.0,8.0,5,5.0,5.0,4.0,3.0,4.4,3.0,4,2,4.0,6,3.3791491443919996,1.1952800037551365,4.553764863492147,3.497020065424925,5.621701455739102,3.261121872843576,0.27186740509393764,3.6658816226181314,4.597000725415866,15.94750616226792,26.105237652287354,3.7546807620067004,4.155706842685423,2.057050742797276,17.22485479046839,3.6316641899453814,2.2827472873322017,6.394328360130306,3.2837120825513617,1.7434220630663095
13,20,RL,68.0,12968,Pave,None,IR2,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5.0,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737.0,Unf,0.0,175.0,912.0,GasA,TA,Y,SBrkr,912,0,0,912,1.0,0.0,1,0,2,1,TA,4,Typ,0,None,Detchd,1962.0,Unf,1.0,352.0,TA,TA,Y,140,0,0,0,176,None,None,WD,Normal,144000.0,46,46,2,46.0,1824.0,1649.0,0.5530624620982414,0.0703269586674892,0.0043859649122807015,0.0021929824561403508,1.0,228.0,912,0,0,0,1052.0,6.816735880594968,0.0,6,8245.0,5.0,3,3.0,3.0,4.0,3.0,3.2,3.0,3,2,2.0,7,1.5381598472832714,2.9680577874340264,1.956789839726623,3.5506632940084315,6.041831716115162,1.9315189080739732,4.063586888169664,0.6777140865622575,5.528666695434958,17.860977201347907,26.050288662786485,2.837151158597603,0.7806202786792433,2.0419940727281443,17.18612192017561,2.6936071396142154,2.2812605717329477,9.693397877923488,2.4931828017235143,5.193736811639803
14,20,RL,91.0,10652,Pave,None,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7.0,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,1494.0,1494.0,GasA,Ex,Y,SBrkr,1494,0,0,1494,0.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2006.0,RFn,3.0,840.0,TA,TA,Y,160,33,0,0,0,None,None,New,Partial,279500.0,1,0,0,1.0,2988.0,1494.0,1.0,0.14025535110777318,0.004685408299866131,0.002008032128514056,1.0,213.42857142857142,1494,0,0,0,1504.0,7.3098814858247865,5.726847747587197,6,10458.0,7.0,4,4.0,4.0,4.0,3.0,3.8,3.0,4,2,2.0,18,0.8940554067404433,2.922122515675613,3.6582856303404028,1.2803760457939757,5.520655237270001,3.252312389042808,3.3574048635321794,1.78041388877037,3.2687661082962194,15.772466049354316,26.040153018546604,3.1238770936159126,2.648121875268277,2.2082312648931173,17.23230654702292,2.0345331836333806,3.0553611836048717,8.007443985431093,0.23063204852445285,3.8312603313721456
15,20,RL,68.0,10920,Pave,None,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6.0,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733.0,Unf,0.0,520.0,1253.0,GasA,TA,Y,SBrkr,1253,0,0,1253,1.0,0.0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,1960.0,RFn,1.0,352.0,TA,TA,Y,0,213,176,0,0,GdWo,None,WD,Normal,157000.0,48,48,2,48.0,2506.0,1986.0,0.6309164149043303,0.11474358974358974,0.0039904229848363925,0.0015961691939345571,1.0,250.6,1253,0,0,0,1200.0,7.134093721192866,5.3612921657094255,6,11916.0,5.0,3,3.0,3.0,2.0,3.0,2.8,3.0,3,2,2.5,0,0.3074855133460307,2.709248040075248,2.8411383638370302,2.2157109123360557,5.707641876611168,2.511634526801269,3.4864707120576663,0.8450528872630668,4.205998324044287,16.656980163232696,26.106347783080228,2.7938142320640784,1.7252119140674311,1.7966576677566406,17.262527590384625,2.1130166495860765,2.506905496879694,8.692258834020922,1.1300624645857562,4.306762663608865
16,45,RM,51.0,6120,Pave,None,Reg,Lvl,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7.0,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,832.0,832.0,GasA,Ex,Y,FuseA,854,0,0,854,0.0,0.0,1,0,2,1,TA,5,Typ,0,None,Detchd,1991.0,Unf,2.0,576.0,TA,TA,Y,48,112,0,0,0,GdPrv,None,WD,Normal,132000.0,78,6,4,16.0,1686.0,854.0,1.0,0.13954248366013072,0.00585480093676815,0.00234192037470726,1.0,170.8,854,0,0,0,1231.0,6.75110146893676,0.0,8,5978.0,5.0,3,3.0,3.0,4.0,3.0,3.2,3.0,3,2,1.0,12,1.7328983970527412,3.1112479535748974,1.7561559194368643,3.8911961952155565,6.884945841645534,1.6014774467983237,4.2627908137115815,0.9074569467423511,5.878685074902669,18.363623050879465,26.95070358720437,3.0362661096015264,0.1823737534496442,2.11987697440086,18.084204787457104,3.4702294846835753,2.300912108531634,10.105675993447539,2.7619717792593903,5.485457489187098
17,20,RL,68.0,11241,Pave,None,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6.0,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578.0,Unf,0.0,426.0,1004.0,GasA,Ex,Y,SBrkr,1004,0,0,1004,1.0,0.0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1970.0,Fin,2.0,480.0,TA,TA,Y,0,0,0,0,0,None,Shed,WD,Normal,149000.0,40,40,2,40.0,2008.0,1582.0,0.6346396965865992,0.08931589716217418,0.0049800796812749,0.00199203187250996,1.0,200.8,1004,0,0,0,1200.0,6.912742820493176,5.198497031265826,6,9492.0,5.0,3,3.0,3.0,3.0,3.0,3.0,3.0,3,0,2.0,7,1.1266905404599596,2.8287452260927286,2.1184736255116263,3.1915167043500237,6.048830937187614,1.9507874154671354,3.868710068565021,0.28038679783809367,5.179146634618175,17.576514591491794,26.20530735178754,2.77191678803513,0.8433505996032763,1.8515308791836242,17.34301219255014,2.584457897528927,2.243849101202763,9.447046175464436,2.107833576314278,4.94378296717425
18,90,RL,72.0,10791,Pave,None,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4.0,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,None,None,None,None,0.0,None,0.0,0.0,0.0,GasA,TA,Y,SBrkr,1296,0,0,1296,0.0,0.0,2,0,2,2,TA,6,Typ,0,None,CarPort,1967.0,Unf,2.0,516.0,TA,TA,Y,0,0,0,0,0,None,Shed,WD,Normal,90000.0,39,39,2,39.0,1296.0,1296.0,1.0,0.12010008340283569,0.004629629629629629,0.0015432098765432098,1.0,216.0,0,1296,0,0,1052.0,7.167809184316444,0.0,4,5184.0,5.0,3,3.0,0.0,4.0,3.0,3.4,0.0,0,0,2.0,11,2.8148213014870196,3.296383207298893,1.1672166988914017,4.3840631370711876,6.35763985483361,2.5593532645684713,4.248036329472459,2.393506740198572,6.166049419182225,18.3966196413464,26.479915979829542,1.1264931968167173,2.3559662024620995,2.7362020853514757,17.600668937608667,3.6066117832294733,2.761702800164879,9.891327613921584,3.483076047506797,5.413906916784105
19,20,RL,66.0,13695,Pave,None,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5.0,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,646.0,Unf,0.0,468.0,1114.0,GasA,Ex,Y,SBrkr,1114,0,0,1114,1.0,0.0,1,1,3,1,Gd,6,Typ,0,None,Detchd,2004.0,Unf,2.0,576.0,TA,TA,Y,0,102,0,0,0,None,None,WD,Normal,159000.0,4,4,0,4.0,2228.0,1760.0,0.6329545454545454,0.08134355604235122,0.005385996409335727,0.0026929982046678637,1.0,185.66666666666666,1114,0,0,0,1575.0,7.016609683894219,0.0,5,8800.0,6.0,3,4.0,3.0,4.0,3.0,3.4,3.0,3,1,2.5,7,0.9011806273854648,2.758771671797584,2.47744970814607,2.758462837988703,5.592900839148979,2.2968475632157537,3.6791178915788074,0.5876568876122052,4.730282742375934,17.073911396672163,25.831440945173185,2.7190483101518583,1.3750739906516862,1.8465749855777531,16.974641930773302,2.0743544407833796,2.3660142022570456,9.03530900523746,1.7351137376947772,4.626663500155633
20,20,RL,70.0,7560,Pave,None,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504.0,Unf,0.0,525.0,1029.0,GasA,TA,Y,SBrkr,1339,0,0,1339,0.0,0.0,1,0,3,1,TA,6,Min1,0,None,Attchd,1958.0,Unf,1.0,294.0,TA,TA,Y,0,0,0,0,0,MnPrv,None,COD,Abnorml,139000.0,51,44,3,51.0,2368.0,1843.0,0.7265328269126424,0.17711640211640212,0.004480955937266617,0.0022404779686333084,1.0,223.16666666666666,1339,0,0,0,1200.0,7.200424892944957,0.0,6,9215.0,5.0,3,3.0,3.0,4.0,3.0,3.2,3.0,3,0,1.0,0,0.5119700272754735,2.6142059105192392,2.49063774143049,2.400620268591736,6.030270949338498,2.3243772552027075,3.4167084551509497,0.9237841766535128,4.36114951891168,16.898728319664794,26.5474605032575,2.331617433446876,1.6694804817363988,1.6815417334927718,17.68905542278069,2.510871520711635,2.387665671337062,8.797454073976471,1.2968668200853972,4.312444047520964
21,60,RL,101.0,14215,Pave,None,IR1,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8.0,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1158.0,1158.0,GasA,Ex,Y,SBrkr,1158,1218,0,2376,0.0,0.0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2005.0,RFn,3.0,853.0,TA,TA,Y,240,154,0,0,0,None,None,New,Partial,325300.0,1,0,0,1.0,3534.0,2376.0,1.0,0.1671473795286669,0.003787878787878788,0.0016835016835016834,0.48737373737373735,264.0,2376,0,0,0,1832.0,7.773594467360194,5.942799375126701,6,19008.0,8.0,4,4.0,5.0,4.0,3.0,4.0,3.0,4,2,3.5,6,3.6310523893596964,1.377430803457363,4.723981609321873,3.7073166645237365,5.451622661997317,3.4574746680188566,0.45386158559857737,3.887350556390341,4.744207635633376,15.899070322328553,25.84829523972822,3.894676707347236,4.370366503714086,2.294276279854804,16.970649905342697,3.690600224024072,2.441506242813248,6.252255821149161,3.532915186237814,1.7161886696756596
